,station,date,pm25,latitude,longitude,pm25_xgb,pm25_rf,pm25_lgbm
0,AHP Capital Place,2025-03-06,38.1578947368421,-6.232,106.8205,36.056995,34.48094980663723,34.78848088638267
1,AHP Capital Place,2025-03-06,38.1578947368421,-6.232,106.8205,35.50894,34.60050753275553,34.57052117080416
2,ANTARA ETP - Bundaran HI,2025-03-06,40.25,-6.1955,106.8243,35.76387,34.38855379104614,35.65750450144927
3,ANTARA ETP - Bundaran HI,2025-03-06,40.25,-6.1955,106.8243,35.758217,34.500826373630105,35.43954478587075
4,Agung Sedayu Group - WTP Ebony (BGM),2025-03-06,25.842105263157894,-6.1039,106.7459,33.308056,31.378918577830003,33.56099633695564
5,Agung Sedayu Group - WTP Ebony (BGM),2025-03-06,25.842105263157894,-6.1039,106.7459,33.280243,31.30106213887533,33.560411207467226
6,Ancol,2025-03-06,24.25833333333333,-6.12459,106.85121,24.13432,25.457059812919,24.64640865583773
7,Ancol,2025-03-06,24.25833333333333,-6.12459,106.85121,24.13432,25.457059812919,24.64640865583773
8,Ancol,2025-03-06,24.25833333333333,-6.12459,106.85121,24.202291,25.457059812919,24.6603766264533
9,Ancol,2025-03-06,24.25833333333333,-6.12459,106.85121,24.202291,25.457059812919,24.6603766264533
10,Antara ETP - Antara Heritage Center,2025-03-06,28.0,-6.1656,106.8341,35.1291,34.16548915757073,35.44064228868085
11,Antara ETP - Antara Heritage Center,2025-03-06,28.0,-6.1656,106.8341,35.14665,34.374274670283,35.23079297043322
12,Ascott Kuningan - myhome,2025-03-06,37.0,-6.2251,106.824,35.62142,34.545948219299305,34.514044771058465
13,Ascott Kuningan - myhome,2025-03-06,37.0,-6.2251,106.824,35.073368,34.60978609826829,34.29608505547995
14,Cilandak Barat,2025-03-06,37.8125,-6.2997,106.8006,37.484985,37.1077793735928,36.64419457698247
15,Cilandak Barat,2025-03-06,37.8125,-6.2997,106.8006,37.66307,37.00101080470615,36.71423659289644
16,Cipete Selatan Asem II,2025-03-06,35.13333333333333,-6.2736,106.8042,35.843945,35.77625561820137,33.767150396758765
17,Cipete Selatan Asem II,2025-03-06,35.13333333333333,-6.2736,106.8042,35.58107,35.49468148337471,33.572296522272
18,DKJ01 Bundaran HI,2025-03-06,36.565714285714286,-6.19475,106.8231,35.76387,34.38855379104614,35.65750450144927
19,DKJ01 Bundaran HI,2025-03-06,36.565714285714286,-6.19475,106.8231,35.758217,34.500826373630105,35.43954478587075
20,DKJ02 Kelapa Gading,2025-03-06,38.768095238095235,-6.15394,106.90805,36.537003,38.15068444586515,38.26704916137886
21,DKJ02 Kelapa Gading,2025-03-06,38.768095238095235,-6.15394,106.90805,36.537003,38.15068444586515,38.26704916137886
22,DKJ02 Kelapa Gading,2025-03-06,38.768095238095235,-6.15394,106.90805,36.584515,38.29264925906306,38.13751683737261
23,DKJ02 Kelapa Gading,2025-03-06,38.768095238095235,-6.15394,106.90805,36.584515,38.29264925906306,38.13751683737261
24,DKJ03 Jagakarsa,2025-03-06,52.72714285714286,-6.33623,106.81857,37.71454,38.97737886110943,37.98927413110757
25,DKJ03 Jagakarsa,2025-03-06,52.72714285714286,-6.33623,106.81857,37.688065,39.15622239324782,37.94971571463982
26,DKJ04 Lubang Buaya,2025-03-06,17.856190476190477,-6.29031,106.9086,38.88385,36.185377421908896,36.44626563115778
27,DKJ04 Lubang Buaya,2025-03-06,17.856190476190477,-6.29031,106.9086,39.036423,36.1659831047058,36.757077568238245
28,DKJ05 Kebun Jeruk,2025-03-06,43.87428571428571,-6.19201,106.77079,35.50121,34.75530798064339,35.60373995165816
29,DKJ05 Kebun Jeruk,2025-03-06,43.87428571428571,-6.19201,106.77079,35.44001,34.77189623832703,35.5400815871148
30,DKJ06 GOR Cendrawasih,2025-03-06,23.723333333333333,-6.14277,106.72232,29.13437,33.48936829037137,31.588757178867848
31,DKJ06 GOR Cendrawasih,2025-03-06,23.723333333333333,-6.14277,106.72232,29.096899,33.39053611331516,31.494911088716854
32,DKJ07 Kebon Bibit Cilangkap,2025-03-06,25.75375,-6.34077,106.90078,33.666466,33.58731958495246,29.986325392262184
33,DKJ07 Kebon Bibit Cilangkap,2025-03-06,25.75375,-6.34077,106.90078,33.63374,33.656291797426015,29.96487892931296
